Area (table worldbank);Correspondance  (table mortality)
Afghanistan; 
Albania;Albania
Algeria; 
American Samoa; 
Andorra; 
Angola; 
Antigua and Barbuda;Antigua and Barbuda
Arab World; 
Argentina;Argentina
Armenia;Armenia
Aruba;Aruba
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Bahamas, The;Bahamas
Bahrain;Bahrain
Bangladesh; 
Barbados;Barbados
Belarus;Belarus
Belgium;Belgium
Belize;Belize
Benin; 
Bermuda;Bermuda
Bhutan; 
Bolivia;Bolivia
Bosnia and Herzegovina;Bosnia and Herzegovina
Botswana; 
Brazil;Brazil
British Virgin Islands;British Virgin Islands
Brunei Darussalam;Brunei Darussalam
Bulgaria;Bulgaria
Burkina Faso; 
Burundi; 
Cabo Verde;Cape Verde
Cambodia; 
Cameroon; 
Canada;Canada
Caribbean small states; 
Cayman Islands;Cayman Islands
Central African Republic; 
Central Europe and the Baltics; 
Chad; 
Chile;Chile
China; 
Colombia;Colombia
Comoros; 
Congo, Dem. Rep.; 
Congo, Rep.; 
Costa Rica;Costa Rica
Cote d'Ivoire; 
Croatia;Croatia
Cuba;Cuba
Curacao; 
Cyprus;Cyprus
Czech Republic;Czech Republic
Denmark;Denmark
Djibouti; 
Dominica;Dominica
Dominican Republic;Dominican Republic
Early-demographic dividend; 
East Asia & Pacific; 
East Asia & Pacific (IDA & IBRD countries); 
East Asia & Pacific (excluding high income); 
Ecuador;Ecuador
Egypt, Arab Rep.;Egypt
El Salvador;El Salvador
Equatorial Guinea; 
Eritrea; 
Estonia;Estonia
Ethiopia; 
Euro area; 
Europe & Central Asia; 
Europe & Central Asia (IDA & IBRD countries); 
Europe & Central Asia (excluding high income); 
European Union; 
Faroe Islands; 
Fiji;Fiji
Finland;Finland
Fragile and conflict affected situations; 
France;France
French Polynesia; 
Gabon; 
Gambia, The; 
Georgia;Georgia
Germany;Germany
Ghana; 
Gibraltar; 
Greece;Greece
Greenland; 
Grenada;Grenada
Guam; 
Guatemala;Guatemala
Guinea; 
Guinea-Bissau; 
Guyana;Guyana
Haiti;Haiti
Heavily indebted poor countries (HIPC); 
High income; 
Honduras;Honduras
Hong Kong SAR, China;Hong Kong SAR
Hungary;Hungary
IBRD only; 
IDA & IBRD total; 
IDA blend; 
IDA only; 
IDA total; 
Iceland;Iceland
India; 
Indonesia; 
Iran, Islamic Rep.;Iran (Islamic Republic of)
Iraq;Iraq
Ireland;Ireland
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Japan;Japan
Jordan;Jordan
